,recipe_name,description,rating,num_ratings,author
0,Low Carb Strawberry and Cream Pie - Recipe - Diet Doctor,"This stunning dessert isn't off-limits, even when living a low-carb lifestyle. If strawberries aren’t in season, you can use any naturally sweet berries. This pastry is flavored the Italian way, with a citrus zest which gives this dessert an extra special zing.",5,1,Katie Caldesi
0,Low-Carb Chicken Sheet-Pan With Chili Sauce- Recipe - Diet Doctor,"This simple sheet-pan meal is proof that simple, fresh flavors win the day! You can easily swap for whatever vegetables you have in the fridge, such as aubergines, tomatoes, or broccoli. For a slightly more adventurous version, you can try fennel bulbs, pumpkin, or radicchio.",5,2,Katie Caldesi
0,Midweek Meaty Low-Carb Pilaf - Recipe - Diet Doctor,"Think of this as a meaty, one-pan meal that uses ground meat, liver, or sausages and cauliflower rice as a low-carb base. The pilaf is best finished with lots of fresh herbs, but you could scatter over dried thyme or oregano if that's what you have on hand.",5,2,Katie Caldesi
0,Spicy 7-minute shrimp salad,"A restaurant-quality salad in minutes. Cooked shrimp mixed with a blend of creamy yogurt and mayo, spiced up with chili, onions, and celery for crunch. This high-protein, low-carb salad is perfect for a packed lunch, but also fancy enough for guests.",5,4,"Kristie Sullivan, PhD"
0,Ham & Cheddar Keto Dutch Baby - High Protein Recipe - Diet Doctor,"Our high-protein Dutch baby is whipped up in a blender and takes less than 15 minutes to bake, making it simple enough for a hectic weekday morning. It is topped with smoked ham and shredded cheddar straight from the oven. Enjoy it hot or cold.",3.67,3,"Kristie Sullivan, PhD"
0,Proscuitto-Wrapped Mozzarella Sticks With Tomato Basil Salad - Recipe,"Our Proscuitto-wrapped mozzarella sticks make a complete, high-protein lunch in minutes. Served with a cherry tomato and fresh basil salad, this Italian-inspired meal will fuel you up without slowing you down.",5,3,"Kristie Sullivan, PhD"
0,Egg-free Mexican Breakfast Scramble - High Protein - Diet Doctor,"Just because you don't eat eggs or dairy, doesn't mean that you can't enjoy a hearty breakfast scramble. This savory breakfast is loaded with ground turkey and plant protein, Mexican flavors, and fresh veggies. It's an egg-free and dairy-free way to start your action-packed day.",5,3,Erika McKellar
0,Luscious Lime High Protein Smoothie - Recipe - Diet Doctor,"Whip up our simple, high-protein lime smoothie in mere minutes to start your day with the protein boost you need without protein powders.",5,7,"Kristie Sullivan, PhD"
0,Keto Tomato Smash Burger - High Protein Recipe - Diet Doctor,"Feel like a kid again with this messy, juicy, fresh burger with a tomato bun. This quick and easy, high-protein, keto burger will become your new favorite go-to meal for busy weeknights.",5,9,Jill Wallentin
0,Chocolate Raspberry Cheesecake Smoothie - Recipe - Diet Doctor,"Satisfy your sweet tooth and your hunger with this decadent, high-protein smoothie. Flavorful raspberries meet their match when combined with almond milk, cream cheese, and chocolate. It's a healthy, frosty treat that will keep you full for hours.",4.8,10,Erika McKellar
0,Chorizo Crumb-Topped Cod with Padrón Peppers - Recipe - Diet Doctor,"This high-protein keto recipe provides the perfect combination of Mediterranean flavors. Cod is baked, and then topped with a parmesan cheese and Spanish-chorizo crumble to better enhance the flavor of the fish. As a side, Padrón peppers are the perfect match for fish dishes.",5,5,Andrea Denolle
0,Mediterranean high protein pizza - Recipe - Diet Doctor,"This traditional Catalan recipe usually includes a base made of flour, similar to a pizza crust, that is topped with ""escalivada"" (roasted vegetables) and anchovies marinated in oil. This low-carb, high-protein version is perfect for those who want to lose weight, as we use tuna instead of flour for…",5,2,Andrea Denolle
0,High Protein Chocolate Almond Smoothie - Recipe - Diet Doctor,"This is the perfect on-the-go, high-protein smoothie. It will keep you full through your carpool, workout, and your morning meetings.",4.92,13,Erika McKellar
0,White Asparagus with Egg Vinaigrette - Low-Carb Recipe - Diet Doctor,"Asparagus is filling, high in fiber, and can act as a natural diuretic. If you want to lose weight, asparagus is great as a starter or on the side. This recipe features asparagus with a high-protein egg vinaigrette. Light and low carb, this starter is perfect in the spring or summer.",5,1,Andrea Denolle
0,Sirloin Steak with Butterfried Green Beans and Almonds,"Five ingredients plus ten minutes equals one delicious steak dinner. With 44 grams of protein and only 4 net carbs, your body and your taste buds will thank you for treating them right.",5,5,"Franziska Spritzler, RD, CDE"
0,High Protein Vegetarian Plate with Edamame and Feta Cheese,"Fresh vegetables, punchy feta, and tart lime are combined on this high-protein plate. With two minutes of cook time and over 30 grams of satiating protein, losing weight has never been this easy or tasted this good.",4.88,8,"Franziska Spritzler, RD, CDE"
0,High Protein Seared Lemon-Butter Salmon with Italian Salad - Diet Doctor,"Losing weight has never been this easy or flavorful. This high-protein meal combines lemon-butter seared salmon with a simple, fresh salad, all topped with a dijon vinaigrette. With over 40 grams of satiating protein and only two net carbs, you'll be savoring your way to a healthier you.",5,5,"Franziska Spritzler, RD, CDE"
0,"High Protein Vegetarian Breakfast with Cheese, Eggs, and Spinach","A simple, fresh, high-protein breakfast loaded with eggs, spinach, and cheese. It will keep you satisfied and feeling great throughout your entire morning. What more could you ask for?",5,4,"Franziska Spritzler, RD, CDE"
0,Everything But The Bagel Omelet - High Protein Recipe - Diet Doctor,"Our everything-but-the-bagel omelet has everything but the bagel! Enjoy the crunch of egg seasoned with sesame seeds, onion, and garlic with the rich flavors of turkey, bacon, and sun-dried tomatoes made even more dreamy with bits of cream cheese in the filling.",5,5,"Kristie Sullivan, PhD"
0,"High-Protein Breakfast with Canadian Bacon, Eggs, and Spinach","In just 10 minutes, you'll be dining on a classic breakfast with a fresh twist. Canadian bacon and eggs provide over 30 grams of protein, and the fresh spinach adds an extra dose of vitamins and fiber to keep you fuller for longer.",5,2,"Franziska Spritzler, RD, CDE"
0,Turkey Apple Patties With Kale - High Protein Keto Recipe - Diet Doctor,"These protein-packed turkey apple patties will keep you satisfied for hours. Paired with a fresh side salad topped with nutrient-packed seeds, you'll have an egg-free, whole-food breakfast, lunch, or dinner that you can feel good about.",5,3,Erika McKellar
0,Pan-Seared Cod in Salsa - High Protein Recipe - Diet Doctor,"Fish is an excellent source of protein that can be prepared quickly in a hot skillet. The cod is lightly seasoned, seared, and then simmered in salsa. Serve with a dollop of sour cream, fresh avocado, or crumbled queso.",5,6,"Kristie Sullivan, PhD"
0,Loaded Keto Turkey Dogs - High Protein Recipe - Diet Doctor,"Take me out to the ball game! Keto style. These high-protein turkey dogs are loaded with fresh, California-style flavors like avocado, spicy jalapeños, and bacon bits. All wrapped in nature's easiest hotdog bun – a romaine lettuce leaf.",5,3,Erika McKellar
0,Spanish Scramble With Chorizo - Recipe - Diet Doctor,"Scrambled eggs make a simple and satisfying keto breakfast all on their own, but adding spicy, oily chorizo really makes them sing. Here, they’re paired with juicy tomatoes and crunchy chard, and a handful of Manchego cheese for a well-balanced meal that features plenty of healthy fats.",5,3,Martina Slajerova
0,Wild Mushroom Chicken Risotto - Recipe - Diet Doctor,"“Regular” risotto is made with starchy Arborio rice, so it’s off-limits if you’re following a keto diet. But this keto-friendly adaptation is every bit as satisfying. This creamy mushroom risotto is made with earthy mushrooms, tender chicken, plenty of shredded Parmesan, and olive oil to add…",4.83,6,Martina Slajerova
0,Summer asparagus and halloumi salad - Recipe - Diet Doctor,"Rich in vitamins A, C, and K, watercress is a real nutritional powerhouse. And, of course, it’s ultra-low in carbs. Serve it with a dressing made with healthy fats, and top with slices of warm, salty, grilled Halloumi — or, if you’re dairy-free, poached eggs.",5,3,Martina Slajerova
0,The Easiest Fish Salad - Low-Carb Recipe - Diet Doctor,"This is a go-to low-carb meal for ultra busy days. It takes very few steps, ingredients, and prep time, but gives maximum nutrients, healthy fats, and protein. You can swap the tuna for salmon, mackerel, or sardines. Try adding sliced avocado for extra fats or a hard-boiled egg for extra protein.",5,3,Martina Slajerova
0,Baked Egg Pots With Chorizo & Feta Cheese - Recipe - Diet Doctor,"These breakfast egg pots with spinach, chorizo, and feta, are perfect for a filling and nutritious breakfast. Or enjoy one as a light meal.",5,3,Martina Slajerova
0,Low-Carb Salisbury Steak With Quick Mash - Recipe - Diet Doctor,"Salisbury steak may not be “real” steak, but who cares? It’s easy to make and so delicious. Served with cauliflower mash and a gluten-free onion gravy, this is low-carb comfort food at its best!",5,4,Martina Slajerova
0,Low carb Danish Skillet with Strawberries - Recipe - Diet Doctor,"Danish, soufflé, omelet, or pancake. There are many ways to describe this nutritious yet delicious low-carb treat. It’s a fluffy egg-based pastry with cheesecake filling and roasted strawberries. We call this heaven in a pan!",4.8,5,Martina Slajerova
0,Superfood Salmon Salad Bowl - Recipe - Diet Doctor,"This Mediterranean superfood salad is the ultimate throw-together meal for when time is precious, but you don’t want to skimp on nutrients. It’s packed with omega-3 and boasts a pantheon of micronutrients.",5,4,Martina Slajerova
0,Greek Low-Carb Keftedes Bowls - Recipe - Diet Doctor,"These flavorful lamb meatballs (keftedes) served on a crispy, fresh salad with tzatziki will make your tastebuds sing. If you’re not a huge fan of lamb, you can replace it with any other ground meat of choice such as beef or turkey.",5,4,Martina Slajerova
0,Keto Taverna Style Greek Butterflied Sea Bass - Recipe - Diet Doctor,"This is one of the most common ways to serve freshly caught fish in Greece. Cooked simply, and served with lemon juice, loads of olive oil, and wild greens. Butterflying the sea bass could feel a bit overwhelming if you've never done it before, but it results in tender, juicy fish with plenty of…",5,3,Martina Slajerova
0,Classic Low-Carb Cheesecake - Recipe - Diet Doctor,"A simple, baked cheesecake never goes out of style. We've topped ours with a classic sour cream topping, but you can also use fresh berries, our sugar-free milk chocolate sauce, a dollop of freshly whipped cream, or nothing at all! See our tips for a perfect cheesecake every single time.",5,6,"Kristie Sullivan, PhD"
0,High protein cottage cheese breakfast bowl - Recipe - Diet Doctor,"A light, fresh breakfast that you can make in less than 5 minutes! With 29 grams of protein, this egg-free, vegetarian delight will get you through your early morning workout and your 11 am meeting with flying colors.",5,10,Erika McKellar
0,Sautéed Chicken Livers With Cauli Mash - Low-Carb Recipe - Diet Doctor,"If you are skeptical about eating liver but would like to give it a chance because it's such a cheap superfood, you really should give this a shot. This stew with chicken livers gets lots of flavor from onion and garlic and crispy, smokey bacon. Liver doesn't get any tastier than this!",5,1,Martina Slajerova
0,Oven Baked Low-carb Spanish Cheesecake - Diet Doctor,"The original version of this cheesecake was created by the restaurant La Viña in San Sebastián. It has become one of the most popular desserts in Spain in recent years. Its simplicity and creaminess have captivated us, so we just had to create a low-carb version.",4.97,35,Andrea Denolle
0,Low-carb Spanish Tuna Pie (Empanada Gallega) - Recipe - Diet Doctor,"Visit Spain from your kitchen with this low-carb ""empanada"", a pie filled with tuna, peppers, tomato, and chopped egg. In this low-carb version, we used a fathead dough with a traditional filling. Once you have mastered the technique, you can use any filling you like.",5,3,Andrea Denolle
0,Spanish Low-Carb Tortilla - Recipe - Diet Doctor,"Dreaming of escaping to the Mediterranean? Get ready to travel right from your kitchen. This low-carb version of Spanish tortilla made with cauliflower perfectly imitates the texture and flavor of the classic Spanish dish, without the high-carb potatoes.",4.63,8,Andrea Denolle
0,Keto Lemon Cheesecake Cookies - Recipe - Diet Doctor,"Don't you love a tasty accident? These soft, fluffy, buttery keto lemon cheesecake cookies were born when we accidentally doubled the butter and the cream cheese! (Whoops?) We promise you won't be disappointed with these buttery, cake-like treats that are also egg-free!",4.56,25,Erika McKellar
0,Air Fryer Moroccan Chicken with Vegetables - Recipe - Diet Doctor,"In Morocco, instead of ""delicious"", we say ""B-nine""! Chicken thighs and flavorful vegetables are marinated in Moroccan spices and cooked together in the air fryer. Served with a cool Tzatziki yogurt sauce, this dish is perfect for busy weeknights.",4.88,8,Erika McKellar
0,Swedish Low-Carb Cheesecake + Strawberry Jam - Recipe - Diet Doctor,"This protein-packed, low-carb version of the Swedish cheesecake ""ostkaka"" is creamy and has a lovely crunch from the chopped almonds. Served together with a sugar-free strawberry jam, it's the perfect healthy dessert.",4.67,6,Jill Wallentin
0,Low-carb Peanut Butter Brownies - Recipe - Diet Doctor,"This is the ultimate low-carb treat. Rich and decadent, but also healthy! Light and moist brownie with crunchy peanut butter swirls. You will love these nutritious over-the-top brownies.",4.43,14,Jill Wallentin
0,Low-Carb Deep Dish Pan Pizza - Recipe - Diet Doctor,"Deep dish pan pizza is the ultimate comfort food. Our low-carb version brings all the feels - a thick yeast-bread crust that rises around the toppings, a rich tomato sauce flavored with Italian seasonings, pepperoni, bell pepper, onion, and sausage.",4.6,20,"Kristie Sullivan, PhD"
0,Keto Mini-Quiche With Ham - Recipe - Diet Doctor,"Delicious for breakfast, brunch, or lunch! Crispy prosciutto is the perfect protein-packed crust, filled with a creamy egg, mascarpone cheese, and chives on top. Simplicity as it's best. This keto recipe is from a collaboration with the celebrated low-carb chef Pascale Naessens.",4.85,26,Pascale Naessens
0,Garlic Steak Bite Salad With Tarragon Dressing - Recipe - Diet Doctor,"This is the perfect midweek keto meal. It's quick and easy, healthy, and packed with flavor. Juicy steak bites, fried to perfection in garlic butter, served with fresh veggies, and last but not least... a dressing to die for! After tasting the dressing you will want to use it on everything.",4.67,21,Jill Wallentin
0,Smoked Salmon With Avocado & Watercress - Recipe - Diet Doctor,"This is an ideal healthy keto breakfast. Few carbs, healthy fats, and lots of potassium and fiber. Moreover, smoked salmon contains quite a bit of salt, which can be beneficial on a low-carb or ketogenic diet. Make sure to drink plenty of fluids!",4.75,4,Pascale Naessens
0,Teriyaki Salmon Sheet Pan - Low-Carb Recipe - Diet Doctor,"Our healthy take on teriyaki – a popular Japanese dish with meat, marinated in a sweet, soy-based sauce served with rice. We have swapped the meat for salmon and decreased the carbs by replacing the sugar with semi-sweet coconut aminos and replaced rice with tender and vibrant veggies.",4,6,Jill Wallentin
0,Chicken Stew With Vegetables - Recipe - Diet Doctor,"The perfect balance between western and eastern flavors. An exceptionally delicious stew with chicken legs, homemade broth, and fresh vegetables. This low-carb recipe is from a collaboration with the celebrated low-carb chef Pascale Naessens.",4.25,4,Pascale Naessens
0,"Burrata With Tomato, Cream & Pesto - Recipe - Diet Doctor","A marriage of beautiful flavors, all in one rustic low-carb salad. Fresh burrata cheese, tomato, and pesto topped with roasted pine nuts for crunch. This low-carb recipe is from a collaboration with the celebrated low-carb chef Pascale Naessens.",4.64,11,Pascale Naessens
0,Chicken With Olives & Mushrooms - Recipe - Diet Doctor,"You'll enjoy delightfully full flavors from this simple low-carb dish. Chicken, olives, and mushrooms combine to make a rustic dinner that will please even the most discerning taste buds. This low-carb recipe is from a collaboration with the celebrated low-carb chef, artist, and former model…",5,2,Pascale Naessens
0,Baked Mascarpone & Blueberry Dessert - Low-Carb Recipe - Diet Doctor,A sugar-free yet deliciously decadent low-carb dessert with only three ingredients. It doesn't get simpler than this! This low-carb dessert recipe is from a collaboration with the celebrated low-carb chef Pascale Naessens.,4.57,21,Pascale Naessens
0,Garlic Ginger Stir-Fry With Shrimp & Cabbage - Recipe - Diet Doctor,"A combination of classic Asian flavors and cabbage elevates this simple, low-carb shrimp dish. This recipe is from a collaboration with the celebrated low-carb chef, artist, and former model, Pascale Naessens.",4.63,8,Pascale Naessens
0,Lamb Chops With Creamy Cauliflower - Diet Doctor,"You don't need a lot of time or ingredients to make a beautiful, low-carb lamb dinner. Just high-quality meat, fresh vegetables and a few simple seasonings. This low-carb recipe is from a collaboration with the celebrated low-carb chef, artist, and former model, Pascale Naessens.",4.71,7,Pascale Naessens
0,Sautéed cabbage with chicken meatballs - Low-Carb Recipe - Diet Doctor,"This keto dish is guaranteed to make everyone happy. It's easy to prepare and made from simple, fresh ingredients like ground chicken and cabbage. This low-carb recipe is from a collaboration with the celebrated low-carb chef Pascale Naessens.",4.75,4,Pascale Naessens
0,Low-Carb Salmon & Zoodles In Blue Cheese Sauce - Recipe - Diet Doctor,"Are you craving a rich and creamy restaurant-style pasta dish, but you also want to keep it low carb and casual in your pj's? We have the perfect low-carb pasta recipe for you! Our low-carb salmon and zoodles recipe with a decadent blue cheese sauce will satisfy your fine dining craving and keep…",5,3,Naomi Sherman
0,The Best Keto Cinnamon Rolls (Only 1 g of Carbs) - Recipe - Diet Doctor,"Does the smell of cinnamon rolls baking in the oven turn on your happy hormone? It does for us. These delicate keto treats are surprisingly easy to make and taste so good it’s hard to believe they are sugar-free, grain-free, gluten-free, and come in at only 1 net carb per roll!",4.6,40,Jill Wallentin
0,High Protein Turkey Breakfast Burger - Keto Recipe - Diet Doctor,"Whether you enjoy this protein-packed keto burger for breakfast, lunch or dinner, it will keep you satisfied for hours. The best part is that you only need one pan, which means fewer dishes. Be prepared to get your hands dirty if you forgo the knife and fork, we won't tell.",4.38,13,Jill Wallentin
0,"White Fish with Herbs, Coconut Milk, Lime, and Tomatoes - Diet Doctor","A simple, beautiful, and creamy fish casserole that is perfect for company or for a Tuesday night. This dairy-free, low-carb recipe is from a collaboration with the celebrated low-carb chef, artist, and former model, Pascale Naessens.",4.83,6,Pascale Naessens
0,The Best Keto Crack Chicken - Recipe - Diet Doctor,"It's no surprise that this fuss-free and hearty Keto crack chicken has gone viral. The classic combination of cream cheese, ranch seasoning, and bacon is always a winner. The slow cooker method is a breeze, but we've also provided you with oven cooking and instant pot instructions in the tips, done…",4.81,42,Jill Wallentin
0,Easy Sugar-Free BBQ Sauce - Low-Carb Recipe - Diet Doctor,"If you love BBQ sauce but dislike the carbs, we got you! This is not a traditionally sweet BBQ sauce but when you have been skipping the sugar for some time tomatoes start tasting sweet so we don't think adding additional sweetener is necessary.",5,2,Jill Wallentin
0,Quick & Easy Sheet Pan Fajitas - Recipe - Diet Doctor,"Keto sheet pan meals are amazingly easy and require minimal clean-up. Delicious chicken fajitas are no exception. Just slice, mix, spread, and into the oven it goes. If you prep the ingredients in advance, you'll have dinner on the table in less than 25 minutes!",4.93,43,"Kristie Sullivan, PhD"
0,The Tastiest Bacon Wrapped Asparagus - Recipe - Diet Doctor,This perfect keto side dish can turn any veggie skeptic into a veggie fan. Serve these tasty bacon-wrapped asparagus spears with a juicy steak or chicken and a dollop of Parmesan butter for a complete low-carb meal.,5,5,Jill Wallentin
0,Pork Loin With Bacon-Wrapped Green Beans - Recipe - Diet Doctor,"This quick and easy keto meal is packed with nutrients and flavor. Pork tenderloin is a budget-friendly and versatile source of protein. Paired with tender green beans wrapped in bacon and naturally sweet baked tomatoes, we promise that this healthy meal tastes as good as it looks.",5,1,Jill Wallentin
0,Kale Casserole With Mushrooms & Cheddar - Recipe - Diet Doctor,"Not only is this cheesy kale casserole healthy and delicious, but it's also easy to prepare and budget-friendly too! It's a complete vegetarian low-carb meal or perhaps your next brunch potluck dish.",5,6,Jill Wallentin
0,Keto Italian Chicken With Basil and Olives - Recipe - Diet Doctor,"Chicken breasts marinated in a flavourful dressing together with olives, sun-dried tomatoes, and basil, this delicate keto chicken dish will have you dreaming that you're lunching on a sunny terrace in Italy.",4.89,9,Naomi Sherman
0,Keto Chicken Sheet-pan With Tzatziki - Recipe - Diet Doctor,"One pan, no fuss, no mess. This keto sheet pan meal combines juicy chicken, fresh veggies, and classic Greek flavors of feta cheese, olive oil, tomatoes and eggplant. Serve it with a generous dollop of tzatziki and it's sure to become a family weeknight favorite.",4.79,28,Jill Wallentin
0,Low-carb Banana Bread - Gluten-Free Recipe - Diet Doctor,"Slightly sweet, perfectly moist, and simple to make. This low-carb banana bread made with eggs and almond flour is perfect for breakfast or as a post-workout, low-carb snack. It is gluten-free, grain-free, and only 3 g net carbs per slice.",4.44,66,Erika McKellar
0,Low-carb Mexican Hot Chocolate (Champurrado) - Recipe - Diet Doctor,"Traditional Mexican champurrado is a thick hot chocolate flavored with cinnamon. Our low-carb version is prepared with smooth almond milk and rich cream. Grab your favorite book, a cozy blanket, and cuddle up with this decadent treat.",5,4,Kristina Wetter
0,BBQ Shrimp With Lemon Herb Aioli Recipe - Diet Doctor,"Perfect for a family share platter, this keto shrimp dish is fast and easy to prepare with loads of fresh, healthy flavors.",4.29,7,Naomi Sherman
0,Healthy Low-carb blueberry muffins - Recipe - Diet Doctor,"You will love these sugar-free blueberry cream-cheese muffins that take only minutes to whip up. We suggest enjoying them as a dessert, not as breakfast. It's best to start your day with a savory, higher protein dish and enjoy these tasty low-carb muffins as a healthy treat instead.",4.92,112,"Kristie Sullivan, PhD"
0,Slow Cooker Mexican Cochinita Pibil - Recipe - Diet Doctor,This traditional Yucatecan dish is cooked at a low temperature for several hours for an incredibly tender and juicy result. Cochinita Pibil gets its beautiful red color and mild peppery flavor from the Achiote spice.,5,2,Kristina Wetter
0,Keto Tiramisu - Recipe - Diet Doctor,"Tiramisu is one of Italy's most famous desserts made with layers of coffee-soaked sponge cake and soft mascarpone cream. Traditional recipes can take hours, so we decided to simplify and ketofy this irresistible dessert for you. Mangiamo!",4.94,35,Kristina Wetter
0,Keto Wedge Salad With Bacon & Blue Cheese - Recipe - Diet Doctor,"You don’t have to go to a fancy steakhouse to enjoy this signature salad! This keto wedge salad is so simple and filling, that it will surely be added to your weekly meal rotation. Topped with fresh tomatoes, crunchy bacon, creamy blue cheese, and protein-packed eggs, the flavors and textures make…",4.77,13,"Kristie Sullivan, PhD"
0,Keto chicken burger with jalapeño aioli - Recipe - Diet Doctor,"Get ready to get your hands dirty with this quick and healthy no-bun burger! Made with thinly sliced chicken breast fillets, cheddar cheese, onion, tomatoes, and jalapeño aioli all wrapped up in crispy salad leaves. Cook the chicken on the stovetop or even better – on the grill for more flavor.",4.79,19,Jill Wallentin
0,Mexican Shrimp Ceviche (Aguachile) - Keto Recipe - Diet Doctor,"This traditional Mexican dish is a ceviche version in which shrimp are marinated in lemon juice. Red onion, cucumber, and cilantro give a truly authentic touch to this refreshing low-carb dish.",4.57,7,Kristina Wetter
0,Low-Carb Loaded Cauliflower Mash - Recipe - Diet Doctor,"This creamy cauliflower mash is stacked with crispy bacon, melted cheese, sour cream, and scallions. It's the perfect side dish for a juicy steak or roasted chicken.",4.96,24,Jill Wallentin
0,Keto Ribeye Steak With Loaded Cauli Mash - Recipe - Diet Doctor,"Juicy, tender steak seared in garlic butter. Served with a creamy cauliflower mash that is stacked with crispy bacon, melted cheese, sour cream, and scallions.",4.86,22,Jill Wallentin
0,Low-carb vegetarian Mediterranean breakfast plate - Diet Doctor,"What could be simpler? Start your morning with this wholesome low-carb mezze platter of vegetables, nuts, and cheese. No cooking required. This colorful, satisfying meal also works well as a quick and easy brunch or lunch.",4.83,6,Jill Wallentin
0,"Keto Avocado Alfredo Sauce, Zoodles & Chicken - Recipe - Diet Doctor","Do you crave pasta Alfredo but don't want the carbs? Well, try our healthy keto version. We use spiralized zucchini instead of pasta and top it with a creamy avocado sauce and seasoned chicken. There, pasta urge satisfied.",4.94,33,Jill Wallentin
0,Keto Chicken Curry Bell-pepper Sandwich - Recipe - Diet Doctor,"This easy, no-cook, dairy-free, egg-free, keto breakfast is perfect for busy mornings, especially if you prepare the chicken curry filling in advance and assemble the sandwich just before serving. The filling stays fresh in the refrigerator for days, making it ideal for a quick keto meal on a busy…",4.96,24,Jill Wallentin
0,Quick & Easy Tuna Stuffed Avocado - Recipe - Diet Doctor,Looking for a healthy breakfast with no eggs? Grab a spoon and dig into this quick and easy budget-friendly keto breakfast that will keep you satisfied for hours! Prepare the creamy filling in advance and keep it in the fridge until serving for the ultimate fuss-free morning.,4.74,35,Jill Wallentin
0,The Best Keto Egg Roll In A Bowl - Recipe - Diet Doctor,"This satisfying and vibrant keto meal has all of the flavors that you love from an egg roll without all of the carbs. A traditional egg roll gets its name (and carbs) from the egg roll-wrapper, so we added a fried egg on top!",4.93,30,Jill Wallentin
0,Low-carb Christmas Yule Log Recipe - Diet Doctor,"Yule logs are a European Christmas tradition. But can this rich, festive cake actually be made low carb? You bet! This delicious version takes a bit of time to create and assemble, but the result is worth it in appearance and decadent chocolate taste.",5,4,Katie Caldesi
0,Low-carb salmon poke bowl with zoodles - Recipe - Diet Doctor,"Hawaiian poke bowls (pronounced poh-kay) are now the rage and no wonder. They're simple, fresh and so tasty with a spicy umami sauce. This low-carb version features marinated raw salmon with cucumber, red cabbage, bean sprouts, avocado, and zoodles, drizzled with a sriracha mayonnaise sauce.",5,5,Emma Shevtzoff
0,The Best No-Bean Keto Chili (8 g Carbs) - Recipe - Diet Doctor,"Say bye-bye to beans. This keto no-bean chili, or Texas chili, keeps all of the classic chili flavors and keeps your carbs in check. This keto chili recipe can be simmered on the stove, cooked in a slow cooker, or made in a flash in an instant pot.",4.82,72,Jill Wallentin
0,Keto Gingerbread Cookies - Recipe - Diet Doctor,The smell of baking gingerbread will fill your kitchen with a Christmas spirit like few other recipes. Our version of keto gingerbread cookies is based on a traditional Swedish recipe that we ketofied for you. They are equally as fun to bake as they are delicious to eat. God Jul!,4.07,14,Jill Wallentin
0,Keto sausage rolls recipe - Diet Doctor,"Savory sausage rolls are a favorite appetizer in the UK at Christmas or special events. But there's no need to give up this popular comfort food when you have this easy keto version. Almond flour and grated mozzarella create the pastry blanket.  Use good quality sausage, but it's your choice…",4.73,37,Katie Caldesi
